#Run Q delta_Q d delta_d FWHM delta_FWHM I delta_I
2396 0 0 0 0 0 0 0 0
2398 0 0 0 0 0 0 0 0
2400 0 0 0 0 0 0 0 0
2402 7.5846747495 0.0023676938219 0.828405371976 0.000258601765539 0.00732369112634 0.000745940069929 2.50409529447 0.233119357266
2404 0 0 0 0 0 0 0 0
2406 7.5960186189 0.00274926117112 0.827168234099 0.00029938071799 0.00764911510953 0.000875377699893 2.28467512821 0.239506737297
2408 7.58963603008 0.00336681323899 0.827863850424 0.000367245933882 0.00635084425533 0.00105615898165 1.47382747185 0.223209853926
