#Run Q delta_Q d delta_d FWHM delta_FWHM I delta_I
2396 6.02670188753 0.00104130518837 1.04255784083 0.00018013515669 0.00745300750624 0.00041935387027 6.22113060994 0.33354213745
2398 0 0 0 0 0 0 0 0
2400 0 0 0 0 0 0 0 0
2402 6.03597683092 0.00164838506977 1.04095583585 0.000284278105461 0.00558211844504 0.000650464321338 2.45066091924 0.262523524337
2404 6.03639924907 0.00119652022554 1.04088299132 0.000206321268715 0.006813310169 0.000480373109233 4.73257654254 0.313742981641
2406 0 0 0 0 0 0 0 0
2408 0 0 0 0 0 0 0 0
