#Run Q delta_Q d delta_d FWHM delta_FWHM I delta_I
2396 3.47676595526 0.000208937020132 1.80719248521 0.000108603632664 0.00948307840636 0.000153524325954 36.5327287844 0.618445571065
2398 0 0 0 0 0 0 0 0
2400 0 0 0 0 0 0 0 0
2402 0 0 0 0 0 0 0 0
2404 3.48344644852 0.0010167869571 1.80372668277 0.000526491735216 0.0079423068229 0.000750526273512 5.4449695363 0.522297500162
2406 3.48384221663 0.00200021272674 1.80352177753 0.00103547376375 0.00936200466482 0.0015325979534 3.32297399865 0.574838824926
2408 3.48583182655 0.000590270479537 1.80249238054 0.000305223572095 0.00845546610444 0.000438957424828 10.4647561987 0.558105433169
