#Run Q delta_Q d delta_d FWHM delta_FWHM I delta_I
2410 6.01901047097 0.000959143060171 1.04389007753 0.000166346267093 0.0066041101826 0.000384546333554 5.76112738244 0.313420456404
2412 6.02922706769 0.00252521255532 1.04212119342 0.000436470129959 0.00491608305507 0.000994370146761 1.17639402465 0.214146380852
2414 0 0 0 0 0 0 0 0
2416 6.03429104723 0.00185773508253 1.04124664488 0.000320561339622 0.00844184493472 0.000770706639502 3.9567959041 0.349471333054
2418 6.03687754833 0.00108980199237 1.0408005226 0.000187889595923 0.00614166946635 0.000436373844924 4.50593602978 0.296461109503
2420 0 0 0 0 0 0 0 0
2422 0 0 0 0 0 0 0 0
