#Run Q delta_Q d delta_d FWHM delta_FWHM I delta_I
2410 0 0 0 0 0 0 0 0
2412 7.58378225384 0.00451829522685 0.82850286267 0.000493608651269 0.00583655332259 0.00141931871601 0.833305996223 0.180666818506
2414 0 0 0 0 0 0 0 0
2416 7.58963587404 0.00301967337349 0.827863867444 0.000329380555126 0.00931121969746 0.000969762122018 2.78732326003 0.271191482975
2418 0 0 0 0 0 0 0 0
2420 7.5981705229 0.00377102281405 0.826933968939 0.000410412855724 0.00923714872031 0.00121450766696 2.22561604555 0.272925407446
2422 7.5866274582 0.00474502751639 0.828192150175 0.000517989655231 0.0111963964157 0.00156917420709 2.3971789256 0.330708830388
