#Material: DUPLEX 
#Force:	 Phase:	  hkl:	 phi:	psi:	strain:	   strain error:	stress:	    stress error:
 5.0      Fe_FCC   1 1 1  180     60      0.0001138  0.0001081        176838826    9431404
 5.0      Fe_FCC   1 1 1  180     75     -0.0003766  0.0004205        176838826    9431404
 5.0      Fe_FCC   2 0 0  180      0      0.0012447  0.0001222        176838826    9431404
 5.0      Fe_FCC   2 0 0  180     60      0.0003248  0.0005569        176838826    9431404
 5.0      Fe_FCC   2 0 0  180     75      0.0005583  0.0009918        176838826    9431404
 5.0      Fe_FCC   2 0 0  180     90     -0.0005899  0.0003439        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     30      0.0006782  0.0004876        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     45      0.0002852  0.0003062        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     75     -0.0000497  0.0004799        176838826    9431404
 5.0      Fe_FCC   2 2 0  180     90     -0.0003364  0.0001251        176838826    9431404
 5.0      Fe_FCC   2 2 2  180      0      0.0008058  0.0003355        176838826    9431404
 5.0      Fe_FCC   2 2 2  180     45      0.0002559  0.0005754        176838826    9431404
 5.0      Fe_FCC   2 2 2  180     60      0.0003548  0.0003928        176838826    9431404
 5.0      Fe_FCC   3 1 1  180      0      0.0010015  0.0006189        176838826    9431404
 5.0      Fe_FCC   3 1 1  180     15      0.0007629  0.0003474        176838826    9431404
 5.0      Fe_FCC   3 1 1  180     30      0.0009720  0.0002245        176838826    9431404
 5.0      Fe_FCC   3 1 1  180     60     -0.0000516  0.0003650        176838826    9431404
 5.0      Fe_FCC   3 1 1  180     75     -0.0001688  0.0002284        176838826    9431404
 5.0      Fe_FCC   3 1 1  180     90     -0.0003654  0.0005751        176838826    9431404
 5.0      Fe_FCC   3 3 1  180     45      0.0010652  0.0006742        176838826    9431404
 5.0      Fe_FCC   3 3 1  180     75     -0.0005244  0.0008446        176838826    9431404
 5.0      Fe_FCC   4 2 0  180     90      0.0002998  0.0006877        176838826    9431404
10.0      Fe_FCC   1 1 1  180      0      0.0020519  0.0001450        353677651   18862808
10.0      Fe_FCC   1 1 1  180     15      0.0013019  0.0003978        353677651   18862808
10.0      Fe_FCC   1 1 1  180     45      0.0005535  0.0001717        353677651   18862808
10.0      Fe_FCC   1 1 1  180     60      0.0000798  0.0001091        353677651   18862808
10.0      Fe_FCC   1 1 1  180     75     -0.0003554  0.0003760        353677651   18862808
10.0      Fe_FCC   2 0 0  180      0      0.0023562  0.0001242        353677651   18862808
10.0      Fe_FCC   2 0 0  180     15      0.0014976  0.0010329        353677651   18862808
10.0      Fe_FCC   2 0 0  180     60      0.0004596  0.0005005        353677651   18862808
10.0      Fe_FCC   2 0 0  180     75     -0.0001172  0.0009831        353677651   18862808
10.0      Fe_FCC   2 0 0  180     90     -0.0007324  0.0003449        353677651   18862808
10.0      Fe_FCC   2 2 0  180     30      0.0011687  0.0005011        353677651   18862808
10.0      Fe_FCC   2 2 0  180     45      0.0003338  0.0003147        353677651   18862808
10.0      Fe_FCC   2 2 0  180     75     -0.0003027  0.0004906        353677651   18862808
10.0      Fe_FCC   2 2 0  180     90     -0.0008248  0.0001232        353677651   18862808
