#Run Q delta_Q d delta_d FWHM delta_FWHM I delta_I
2382 0 0 0 0 0 0 0 0
2384 0 0 0 0 0 0 0 0
2386 7.59146124229 0.00514557704679 0.827664807425 0.00056100043188 0.0046713329467 0.00156813134426 0.555685307079 0.163789309741
2388 7.59275369497 0.00274314458878 0.82752392078 0.000298971605897 0.00810603654856 0.000869831760414 2.48853266428 0.245826867814
2390 0 0 0 0 0 0 0 0
2392 7.59203530182 0.00366763691288 0.827602224883 0.000399806421927 0.00928627737828 0.00117532965824 2.25758306699 0.269903867331
2394 0 0 0 0 0 0 0 0
